قَالَ,to say
عَقَلُ,"to understand, to reason"
كَتَبَ,"to write, to prescribe, to ordain"
ظَنَّ,"to think, to assume, to guess"
شَكَرَ,"to be grateful, to give thanks"
نَبَّأَ,to inform
حَكَمَ,to judge
يَذَرَ,"to leave, to forsake"
حَسِبَ,to think
شَهِدَ,"to testify, to bear witness"
مَلَكَتْ,"to possess, to have power"
نَادَىٰ,to call
أَنذَرَ,to warn
أُدْخِلَ,to admit
سَبَّحَ,"to glorify, to praise"
ٱسْتَطَاعَ,"to be able to, to be capable"
حَمَلَ,"to carry, to bear"
عَذَّبَ,to punish
عَلَّمَ,to teach
بِئْسَ,"to be wretched, to be evil"
بَلَغَ,to reach
تَرَكَ,to leave
خَشِىَ,to fear
أَرَيْ,to show
ٱسْتَغْفَرَ,to ask forgiveness
ٱسْتَكْبَرَ,to be arrogant
ٱهْتَدَىٰ,to be guided
تَوَكَّلْ,to put trust
حَرَّمَ,"to forbid, to make unlawful"
مَّاتَ,to die
بُشِّرَ,to give glad tidings
رَّضِىَ,to be pleased
يَحْزُن,to grieve
حَشَرَ,"to gather, to raise"
صَدَّ,"to turn away, to avert, to hinder"
نَجَّىٰ,"to save, to deliver"
ذَاقُ,to taste
رَدَّ,"to turn back, to return"
بَيَّنُ,to make clear
ٱخْتَلَفَ,to differ
ذَهَبَ,"to go, to take away"
سَجَدَ,to prostrate
ٱسْتَوَىٰٓ,"to be equal, to be alike, to establish"
نَسِىَ,to forget
ٱبْتَغَىٰ,to seek
قَامَ,"to stand up, to rise, to establish"
أَعْرَضَ,to turn away
كَفَىٰ,to be sufficient
نَهَىٰ,to forbid
نَفَعَ,"to profit, to benifit"
سَآءَ,to be evil
عَسَى,to perhaps
لَبِثَ,"to remain, to stay, to hesitate, to delay"
وَلَّىٰ,to turn
أَبْصَرَ,to see
ٱسْتَجَابَ,"to answer, to respond"
رَّحِمَ,to have mercy
أَصْبَحَ,to become
أَصْلَحَ,"to correct, to reform, to improve, to make peace"
أَغْنَتْ,"to avail, to enrich"
جَٰهَدَ,to strive
عَصَا,to disobey
عَفَا,"to forgive, to pardon"
أَفْلَحَ,to succeed
قَدَّمَ,"to send forth, to offer"
زَيَّنَ,to make fair-seeming
بَغَىٰ,"to seek, to oppress"
جَٰدَلُ,"to argue, to dispute"
خَلَا,to pass away
يَشْعُرُ,"to perceive, to realize"
قَدَرَ,"to restrict, to control, to have power"
كَادَ,"to be near, to nearly do, to almost do"
تَوَفَّىٰ,"to pass away, to die"
أَذِنَ,to permit
بَدَّلَ,to change
فَتَنُ,"to persecute, to test, to try"
لَعَنَ,to curse
أَنجَىٰ,to save
جَمَعَ,"to gather, to collect"
أَذَاقَ,to cause taste
يَرْجُوا۟,"to hope, to expect, to desire"
رَفَعَ,to raise
سَخَّرَ,"to subject, to impose"
أَسْلَمَ,to submit
مَكَرَ,"to plot, to scheme, to plan"
وَهَبَ,"to grant, to bestow"
أَحْسَنَ,to do good
ٱشْتَرَىٰ,"to buy, to purchase, to exchange"
كَتَمَ,"to conceal, to hide"
مَّشَ,to walk
أَمَاتَ,to cause death
ٱسْتُهْزِئَ,"to mock, to ridicule"
وَضَعَ,"to deliver, to give birth"
أَمِنَ,to feel secure
بَلَوْ,to test
حَقَّ,"to justify, to prove true"
أَحَلَّ,to make lawful
سَبَقَ,to precede
سَعَىٰ,"to strive, to run"
أَعَدَّ,to prepare
عَرَفَ,"to know, to recognize"
تَعَٰلَىٰ,"to be exalted, to be high"
أَقْسَمُ,to swear
قَصَّ,to narrate
كَلَّمَ,to speak
أَنشَأَ,"to produce, to raise"
يَضُرَّ,to harm
ٱسْتَعْجَلَ,to seek to hasten
يَفْقَهُ,to understand
نَفَخَ,"to blow, to breathe"
تَبَيَّنَ,to become clear
أُخْفِىَ,"to conceal, to hide"
ذُكِّرَ,to remind
أَسَرَّ,to conceal
عَادَ,to return
أُعِيدُ,to return
مَّتَّعْ,"to grant, to bestow, to provide"
أَمْسَكَ,"to retain, to withhold"
نِعْمَ,to be excellent
وَفَّىٰٓ,"to pay in full, to fulfill"
أَوْفَىٰ,to fulfill
أَحَاطَ,"to surround, to encompass"
أَدْرَىٰ,to make known
أُغْرِقُ,to drown
فَصَّلَ,"to make clear, to explain in detail"
فَضَّلَ,"to bestow, to prefer, to favor"
يَتَفَكَّرُ,"to ponder, to reflect"
ٱنقَلَبَ,"to turn back, to return"
كَرِهَ,"to dislike, to hate"
أَنْعَمَ,to bestow favor
وَدَّ,"to love, to wish"
أُفِكَ,"to delude, to turn away"
بَسَطَ,"to extend, to stretch"
أَتَمَّ,"to fulfill, to complete, to perfect"
خَسِرَ,to lose
ٱسْتَمَعَ,to listen
سَارَ,to travel
فَتَحَ,"to open, to give victory"
فَرِحَ,to rejoice
قَدَّرَ,"to determine, to plot"
قَرَأَ,"to read, to recite"
مَنَّ,to favor
أَنۢبَتَ,to make grow
ٱنتَهَىٰ,"to refrain, to cease, to desist"
هَاجَرَ,to emigrate
وَقَىٰ,"to save, to protect"
أَخَّرَ,"to delay, to give respite"
أُوذِىَ,"to harm, to trouble"
يُبْدِىَ,"to reveal, to disclose"
أَتْبَعَ,to follow
سَكَنَ,"to dwell, to live, to rest"
شَرِبَ,to drink
صَدَقَ,"to be truthful, to fulfill"
صَنَعُ,"to make, to construct, to do"
ٱعْتَدَىٰ,to transgress
غَرَّ,"to deceive, to delude"
غَلَبُ,"to overcome, to defeat"
أَغْنَىٰ,"to avail, to prosper"
أَفْسَدُ,to cause corruption
وَعَظْ,"to instruct, to advise, to preach"
حَلَلْ,"to descend, to be lawful"
أَخْلَفُ,"to break, to fail"
صَرَفَ,"to divert, to turn away"
أَعْتَدَتْ,to prepare
عَدَلَ,to be just
كَشَفَ,"to remove, to uncover"
كَفَّرَ,to remove
لَقُ,"to receive, to meet"
نَكَحَ,to marry
أَبَى,to refuse
تَرَبَّصْ,to await
زَعَمَ,to claim
أَسْمَعَ,to make hear
سَوَّىٰ,"to fashion, to proportion"
يَصْلَى,to burn
أَطْعَمَ,to feed
غَشِيَ,to cover
مَدَّ,"to spread, to extend, to prolong"
مَكَّ,to establish
وَرِثَ,to inherit
يَصِفُ,"to attribute, to ascribe"
ٱسْتَـْٔذَنَ,to ask permission
بَدَأَ,"to begin, to originate"
جَحَدُ,"to reject, to deny"
حَبِطَ,to become worthless
حَآجَّ,to argue
يَحْذَرُ,"to fear, to beware"
حَلَفْ,to swear
خَرَّ,to fall
أَخْزَيْ,to disgrace
تَدْرِى,to know
زَكَّىٰ,to purify
سَقَىٰ,"to water, to give drink"
سَلَكَ,"to insert, to make enter"
ٱصْطَفَىٰ,to choose
صَلَّىٰ,"to pray, to bless"
طَغَىٰ,"to transgress, to overflow"
أَعْلَن,"to declare, to reveal, to proclaim"
قُطِعَ,to cut
قَطَّعَ,"to cut, to divide"
قَعَدَ,to sit
مَّنَعَ,to prevent
يُنظَرُ,to give respite
أَوْرَثَ,to make inherit
وَقَعَ,"to fall, to occur, to fulfill"
يُوقِنُ,to believe firmly
بَدَا,to become apparent
بَنَىٰ,"to construct, to build"
أَذْهَبَ,"to remove, to take away"
سَخِرَ,"to ridicule, to mock"
طَبَعَ,to seal
أَعْجَبَ,"to please, to impress"
عَرَضَ,"to display, to present, to expose, to turn away"
عَٰهَدَ,to make a covenant
يَقْرَبُ,"to approach, to go near"
كَذَبَ,"to deny, to lie"
لَبَسْ,"to obscure, to confuse, to mix, to wear"
تَمَتَّعَ,to enjoy
أَنَابَ,to turn
يَنَالُ,to reach
هَادُ,to be Jewish
وَصَّىٰ,to enjoin
يَسَّرَ,to make easy
بَخِلَ,"to be stingy, to withhold"
ثَبَّتْ,to make firm
ٱجْتَبَىٰ,to choose
أَحْصَىٰ,"to count, to calculate, to enumerate"
حَاقَ,"to surround, to encompass, to envelope"
صَدَّقَ,"to accept truth, to admit, to confirm, to believe"
صَرَّفْ,to explain
أَضَاعُ,"to let go waste, to neglect"
طَلَّقَ,to divorce
ظَهَرَ,"to appear, to become manifest"
عُذْ,to seek refuge
فَسَقَ,to disobey defiantly
فَطَرَ,to create
تَقَبَّلَ,to accept
ٱسْتَقَٰمُ,"to be upright, to be straight, to stand firm"
أَمَدَّ,"to reinforce, to extend, to provide, to aid"
مَرَّ,"to pass, to continue"
نَبَذَ,"to throw, to cast"
نَزَعَ,"to take way, to remove, to withdraw"
يَصِلُ,"to join, to reach"
يُولِجُ,to cause enter
يُؤَاخِذُ,"to call to account, to punish"
ءَاوَىٰٓ,to give shelter
أَيَّدَ,"to support, to strengthen"
تَبَارَكَ,to be blessed
تَبِعَ,to follow
ٱجْتَنَبُ,to avoid
يَسْتَحْىِۦٓ,"to let live, to be shy, to be ashamed"
خَاضُ,"to engage in idle talk, to converse vainly"
رَكِبَ,"to ride, to embark"
رَمَىٰ,"to throw, to accuse"
ٱرْتَابَ,to doubt
يَتَسَآءَلُ,"to question, to ask, to inquire"
يُسَٰرِعُ,to hasten
يُضَٰعِفُ,"to double, to multiply"
ٱنطَلَقَ,"to set out, to proceeed, to go forth"
ٱطْمَأَنَّ,"to be satisfied, to be secure, to be content"
طَهَّرَ,to purify
ظَلَّ,"to continue, to remain"
فَرَضَ,"to specify, to ordain, to make obligatory"
فَرَّقُ,"to differentiate, to make distinction"
يَقْبَلُ,to accept
أَقْبَلَ,to approach
قَذَفَ,"to cast, to throw, to hurl"
يَلْعَبْ,to play
أَمْلَىٰ,to give respite
يَنطِقُ,to speak
وَلَدَ,"to beget, to be born"
بَٰرَكَ,to bless
ٱبْتَلَىٰٓ,"to test, to try"
أُجِيبَت,"to answer, to respond"
خَسَفَ,to cause to swallow
ٱخْتَصَمُ,to dispute
خَفَّفَ,to lighten
دَمَّرَ,to destroy
ٱرْتَدَّ,"to turn back, to return"
رَٰوَدُ,"to seduce, to demand, to get permission"
تَزَكَّىٰ,to purify
ٱزْدَادُ,to increase
زَالَت,to cease
أَسْقَيْ,to give drink
سَمَّىٰ,to name
ٱشْتَهَتْ,to desire
ٱسْتَضْعَفُ,to be oppressed
يَطْمَعُ,"to hope, to desire"
طَافَ,"to circulate, to go around"
أَظْهَرَ,"to make apparent, to reveal"
عَجِبُ,"to wonder, to be amazed, to be astonished"
أَعْطَىٰ,to give
تَعَالَ,to come
أَغْوَيْ,"to mislead, to lead astray"
تَفَرَّقَ,to be divided
كَبُرَ,to be great
كَفَّ,"to restrain, to withhold, to avert"
كِيدُ,"to scheme, to plot, to plan"
يَنتَظِرُ,to wait
نَفَرَ,to go forth
يَهْبِطُ,to go down
هَمَّ,"to determine, to plan, to plot, to desire"
هَوَىٰ,to desire
يَئِسَ,to despair
يَسْتَبْشِرُ,to rejoice
حَضَرَ,"to approach, to attend"
حَفِظَ,"to guard, to protect"
حَىَّ,to live
دَلَّ,"to indicate, to show, to direct"
دَامُ,to be as long as
سِيقَ,to drive
شَآقُّ,to oppose
أَشْهَدَ,to make witness
ضَحِكَتْ,to laugh
ٱضْطُرَّ,"to force, to compell"
ضَاقَ,to straiten
طَّلَعَ,to look
عَدَّ,to count
ٱعْتَزَلَ,"to withdraw, to leave, to keep away"
يَعْمَهُ,to wander blindly
عَمِىَ,to be blind
ٱفْتَدَىٰ,to offer ransom
أَفَاضَ,to depart
يُكَلِّفُ,to burden
ٱلْتَقَى,to meet
أُمْطِرَتْ,"to shower, to send rain"
تَنَٰزَعُ,"to dispute, to disagree"
تَنَزَّلَتْ,"to descend, to bring down"
أَنسَىٰ,to make forget
ٱنتَصَرَ,"to defend, to help"
يُنقَصُ,"to decrease, to reduce, to lessen"
يَزِرُ,to bear
يَسْتَأْخِرُ,"to delay, to postpone"
يَنۢبَغِى,to be appropiate
بَلَّغْ,to convey
بَآءَ,"to incur, to turn back"
بَوَّأَ,to settle
بَايَعْ,to pledge allegiance
ثُقِفُ,"to find, to gain dominance"
يُجِيرُ,to protect
يَخْفَىٰ,to hide
أَدْرَكَ,"to overtake, to grasp"
ذَرَأَ,"to create, to produce, to multiply"
زَاغَ,"to deviate, to turn away, to swerve"
أَسْرَفَ,"to be extravagant, to exceed, to transgress"
أَسْرَىٰ,"to travel, to take"
سَلَّمَ,"to submit, to greet, to pay"
شَدَدْ,to strengthen
تَصَدَّقَ,to give charity
يَصْفَحُ,to overlook
ظَٰهَرُ,"to support, to back"
عَاقَبَ,to retaliate
عَهِدَ,"to make a covenant, to promise"
غَضِبَ,to be angry
يَسْتَفْتُ,"to seek ruling, to inquire, to ask"
فُجِّرَتْ,to cause gush
فَرَّتْ,to flee
أَقْرَضُ,"to lend, to loan"
قَلَّبُ,"to turn, to alternate"
لَقَّىٰ,"to grant, to receive"
ٱسْتَمْتَعَ,"to profit, to benifit, to enjoy"
مُلِئَتْ,to fill
يَتَمَنَّ,to wish
نَزَلَ,"to descend, to bring down"
نَقَضَتْ,to break
ٱنتَقَمْ,to take retribution
نَّكَثَ,to break (oath)
وَسِعَ,"to encompass, to extend"
آثَرَ,to prefer
يُؤَدِّ,"to discharge, to deliver"
أَلَّفَ,"to join, to reconcile"
ءَانَسَ,to perceive
أَوَى,to seek shelter
بَثَّ,to disperse
يَبْخَسْ,"to diminish, to deprive"
تَبَرَّأَ,to disown
بَرَزَ,"to come forth, to go out"
بَطَشْ,to seize
بَكَتْ,to weep
أَبْلَغُ,to convey
أَثَارُ,"to raise, to plough"
أَجْرَمُ,to commit crime
جَهَرَ,to speak loudly
يَجْهَلُ,to be ignorant
أَحْصَنَتْ,"to guard, to protect"
حُمِّلَ,"to place, to entrust"
خَتَمَ,to seal
خَلَفَ,"to succeed, to come after"
ٱسْتَخْلَفَ,to grant succession
خَانُ,to betray
دَرَسُ,"to study, to learn"
دَفَعْ,"to defend, to deliver, to repel"
ذُبِحَ,"to slaughter, to sacrifice"
رَجَمْ,to stone
أَرْضَعَتْ,"to nurse, to suckle"
يَرْكَعُ,to bow
يَرْهَقُ,to cover
زُوِّجَتْ,"to marry, to be paired"
ٱسْتَبَقَ,to race
أَسْكَن,"to make dwell, to settle, to lodge"
سَلَفَ,to pass (before)
أَسَآءَ,to do evil
سُيِّرَتْ,to move
شَرَحَ,"to expand, to open"
يَشْفَعُ,to intercede
ٱنشَقَّ,to split
طَعِمُ,"to eat, to taste, to feed"
طُمِسَتْ,"to blind, to destory, to obliterate"
تَطَهَّرْ,"to cleanse, to purify"
عَتَ,"to be insolent, to exceed, to rebell"
تَعْثَ,"to act wickedly, to commit evil"
عَجِلَ,to hasten
عَجَّلَ,to hasten
يَعْتَذِرُ,to make excuse
يَعْرُجُ,to ascend
ٱعْتَصَمُ,to hold fast
عَقَرَ,to hamstrung
يُعَمَّرُ,to grant life
غَلَّ,"to defraud, to chain, to shackle"
يُفْتِي,"to give ruling, to explain, to advise"
فَرَّط,"to neglect, to fail"
فَرَقْ,to divide
فَصَلَ,"to set out, to depart, to judge"
قَبَضْ,"to withhold, to withdraw, to close"
قَرَّبَ,to bring close
ٱقْتَرَبَ,"to approach, to go near"
تَقَرَّ,"to cool, to comfort"
تَّقَطَّعَ,"to cut, to severe"
أُكْرِهَ,"to compel, to force"
ٱكْتَسَبَ,to earn
يَمْتَرُ,"to dispute, to doubt"
نَصَحُ,to advise
ٱهْجُرْ,to avoid
هَلَكَ,"to die, to be destroyed"
أَوْصَٰ,"to make, to instruct, to enjoin"
تَوَاصَ,"to enjoin, to transmit"
أَوْقَدُ,"to kindle, to heat, to ignite, to light"
وَهَنَ,to weaken
تَأْسَ,to grieve
يُبْطِلَ,"to make vain, to nullify"
يَتَبَوَّأُ,to settle
بَيَّتَ,to plan by night
تَمَّ,"to be fulfilled, to be completed"
ثَقُلَتْ,to be heavy
أَجْمَعُ,"to resolve, to agree, to put together"
جَاوَزَ,"to cross, to pass beyond"
ٱسْتَحَبُّ,to prefer
أَحْبَطَ,to make worthless
يُحَرِّفُ,to distort
يُحَافِظُ,to guard
يُحِقَّ,"to justify, to establish"
حُلُّ,to adorn
حَيَّ,to greet
ٱسْتَخْرَجَ,to bring out
يَخْرُصُ,"to guess, to lie"
خَرَقَ,"to falsely attribute, to tear"
يُخَوِّفُ,"to frighten, to threaten"
خَابَ,to fail
ٱخْتَارَ,to choose
يُدَبِّرُ,"to dispose, to arrange"
أَدْبَرَ,"to turn away, to depart"
يَتَدَبَّرُ,to ponder
يَدْرَؤُا۟,"to avert, to repel, to prevent"
رَبَتْ,"to increase, to swell"
يَرْغَبُ,"to desire, to prefer"
ٱرْتَقِبْ,to watch
أُزْلِفَتْ,to bring near
سَرَقَ,to steal
سَوَّلَ,"to entice, to suggest"
يَسُومُ,to afflict
تَشَٰبَهَ,"to look alike, to seem alike"
شَرَ,to sell
شَقُ,"to suffer, to be wretched, to be distressed"
صَبَّ,to pour
صَدَفَ,to turn away
أَصَرُّ,to persist
يُصَلَّبُ,to crucify
أُصْلِي,to burn
صَوَّرَ,"to form, to fashion, to shape"
يَسْتَعْتِبُ,to ask for favor
يُعْجِزَ,to escape
عَزَمَ,"to resolve, to decide, to determine"
عَمَرُ,"to maintain, to build on"
ٱسْتَعِذْ,to seek refuge
ٱسْتَعِينُ,to seek help
أُغْشِيَتْ,to cover
يَغُضُّ,to lower
ٱسْتَغْنَىٰ,to be self-sufficient
ٱسْتَغَٰثَ,to seek help
يُغَيِّرُ,to change
فَشِلْ,to lose courage
قُتِّلُ,to kill
ٱقْتَتَلَ,to fight
قُدَّ,to tear
يَسْتَقْدِمُ,"to advance, to precede"
أَقْرَرْ,"to ratify, to affirm"
ٱقْتَرَفْ,"to commit, to acquire, to earn"
قَفَّيْ,"to send, to follow"
قَنَطُ,to despair
كَبِّرْ,to magnify
أَكْرَمَ,"to honor, to make comfortable, to be generous"
يَتَكَلَّمُ,to speak
أَلْحَقْ,to join
تَلَقَّىٰٓ,"to cast, to throw, to offer"
لَمَسُ,"to touch, to have contact"
أَلْهَىٰ,"to distract, to divert"
تَمَارَ,"to dispute, to doubt"
مَضَىٰ,"to go on, to continue, to pass"
مَكَثَ,"to stay, to remain"
أَنۢبَأَ,to inform
تَنَٰجَيْ,to hold secret counsel
يَنْحِتُ,to carve
نَذَرْ,"to vow, to worn"
نَّزَغَ,to cause discord
نَفِدَ,to be exhausted
أَنقَذَ,to save
نَقَمُ,"to resent, to take revenge"
هَاتُ,to bring
ٱهْتَزَّتْ,"to stir, to move"
أُهِلَّ,to to be dedicated
وُۥرِىَ,"to hide, to conceal, to cover"
وَسْوَسَ,to whisper
وَٰعَدْ,to appoint
تَأَخَّرَ,"to delay, to stay behind"
أَذَّنَ,"to announce, to proclaim"
أَسَّسَ,to found
أَفَلَ,to set
يَأْلَمُ,to suffer
يُبْدِئُ,to originate
يُبْدِلَ,to substitute
يَتَبَدَّلِ,to exchange
يَسْتَبْدِلْ,to replace
أَبْرَحَ,"to leave, to cease"
بَصُرَتْ,"to perceive, to watch"
بَقِىَ,to remain
ٱبْيَضَّتْ,to become white
أُتْرِفُ,to give luxury
أَثَٰبَ,to reward
يَجْـَٔرُ,to cry for help
يَجْرِمَ,to let incite
تُحَدِّثُ,"to report, to narate"
يُحْدِثُ,"to cause, to bring about"
حَرَصْ,to desire
حَرِّقُ,to burn
حَاسَبْ,to take to account
يَحْتَسِبُ,"to take into account, to expect, to think"
حَسَدَ,to envy
أَحَسَّ,to perceive
حَسُنَ,"to be the best, to be good"
أَحْضَرَتْ,to bring
ٱحْتَمَلَ,"to carry, to bear"
حَالَ,to come
خَاطَبَ,to address
خَطِفَ,to snatch
يَتَخَطَّفَ,"to do away with, to sweep, to take away"
ٱخْفِضْ,to lower
خَفَّتْ,to be light
ٱسْتَخَفَّ,"to take lightly, to bluff"
يَسْتَخْفُ,to hide
ٱخْتَلَطَ,"to join, to absorb, to mingle"
خَوَّلَ,to bestow
ٱدَّٰرَكَ,"to overtake, to arrest"
يَدَّعُ,"to call, to ask"
يُذَبِّحُ,to slaughter
رَّبَطْ,"to strengthen, to make firm"
تُرْجِى,"to defer, to postpone"
أَرْدَىٰ,to ruin
يُرْضُ,"to please, to satisfy"
ٱرْتَضَىٰ,to approve
يَرْقُبُ,to respect
يَرْكُضُ,"to flee, to strike"
يَرْهَبُ,to fear
يُرْهِقَ,"to be hard on, to overburden, to cover"
رَاغَ,to turn
زُلْزِلُ,to shake
زَهَقَ,"to depart, to perish"
زَالَ,to cease
يَسْـَٔمُ,to tire
يُسْجَنَ,to imprison
سَحَرُ,"to bewitch, to delude"
سَرِّحُ,to release
سُقِطَ,"to fall, to regret"
تُسْقِطَ,"to cause toll, to cause to fall"
يَشَّقَّقُ,to split
ٱصْطَبِرْ,"to be patient, to be steadfast"
يُضَآرَّ,"to suffer, to be harmed"
يَتَضَرَّعُ,to humble
أَضَآءَ,"to light, to flash, to glow"
طَرَد,"to send away, to drive away"
أَطْفَأَ,"to extinguish, to put out"
طَفِقَ,to begin
طَالَ,"to prolong, to grow long"
طَابَ,"to seem suitable, to remit, to do well"
ٱطَّيَّرْ,to ascribe an evil omen
يَعْدُ,"to transgress, to pass beyond"
يَتَعَدَّ,to transgress
ٱعْتَرَفُ,"to acknowledge, to confess"
عَزَّرُ,"to honour, to assist"
يَعْصِمُ,"to save, to protect"
يَسْتَعْفِفْ,"to refrain, to be chaste"
عَنِ,"to suffer, to be distressed"
غَدَ,to leave early
غَشَّىٰ,to cover
غَوَىٰ,"to err, to go astray"
يَغِيظُ,"to anger, to enrage"
ٱسْتَفْتَحُ,to seek victory
أَفْرِغْ,to pour
يَسْتَفِزَّ,"to incite, to scare, to drive out"
فَزِعَ,"to be terrified, to be afraid"
فَسَدَتِ,"to be corrupted, to be ruined"
ٱنفَضُّ,"to rush, to disperse"
فَاتَ,to escape
فَارَ,"to overflow, to gush forth, to boil up"
فَازَ,"to be successful, to attain"
فَآءُ,to return
أَفَآءَ,"to give, to restore"
تُقْسِطُ,to be just
قَسَتْ,to harden
كُبِتَ,to be disgraced
ٱسْتَكْثَرْ,"to multiply, to acquire more"
كَسَوْ,"to clothe, to cover"
يَكْفُلُ,"to take charge, to nurse, to rear"
كَنَزْ,to hoard
أَكْنَن,to conceal
كُوِّرَتْ,to wrap
يُلْحِدُ,"to deviate, to distort"
أَلْزَمَ,"to compel, to make adhere"
أَلْفَ,to find
تَلْقَفُ,to swallow
يُلَٰقُ,to they meet
يَلْمِزُ,"to criticize, to insult"
لُمْ,to blame
يَلْ,to distort
مَحَوْ,"to eliminate, to erase"
ٱمْسَحُ,to wipe
ٱسْتَمْسَكَ,"to grasp, to hold fast"
يُمِلَّ,to dictate
تَمَنَّىٰٓ,to wish
يُمْنَىٰ,to emit
تَمِيدَ,to shake
يَمِيلُ,"to deviate, to assult, to incline"
نَـَٔا,"to distance, to become remote, to keep away"
نُسِفَتْ,"to scatter, to blow away, to blast"
نُشِرَتْ,"to spread, to lay open"
أَنشَرَ,"to raise, to revive, to resurrect"
تَنتَشِرُ,to disperse
تَنفُذُ,to pass
تُنكِحُ,to marry
يُنكِرُ,to deny
ٱسْتَنكَفُ,to disdain
أَوْجَسَ,"to feel, to sense"
وَجِلَتْ,"to feel fear, to be afraid"
يُوزَعُ,to set in rows
وَّزَنُ,to weigh
يَطَـُٔ,"to step, to trod, to trample"
وُقِفُ,to make stand
يَلِجَ,"to penetrate, to pass"
تَيَمَّمُ,"to aim, to do tayammum"
ٱسْتَـْٔجَرْ,to hire
أَجَّلَ,to appoint
ءَاذَن,to announce
تَأَذَّنَ,"to announce, to declare"
يَأْتَمِرُ,to consult
تَبْتَئِسْ,to grieve
بَرَّأَ,"to absolve, to clear"
تُبْرِئُ,"to heal, to cure"
تَبَرُّ,"to be good, to be kind"
بُرِّزَتِ,to make manifest
أُبْسِلُ,to give up to destruction
بَٰشِرُ,to have relations
بَطَنَ,to be concealed
بُعْثِرَ,"to overturn, to scatter"
بَعُدَتْ,"to become distant, to take away"
يُبْلِىَ,to test
بُهِتَ,"to be bewildered, to be dumbfounded"
يَبُورُ,to perish
تَبَّ,to perish
تَبَّرْ,to destory
يُثْبِتُ,"to restrain, to confirm"
أَثْخَن,"to battle, to subdue"
أَثْمَرَ,to bear fruit
ٱجْلِدُ,to flog
تَجَلَّىٰ,to reveal
جَلَّىٰ,to reveal
ٱجْتَمَعُ,to gather
جَنَحُ,to incline
جَهَّزَ,to furnish
يُحْبَرُ,to delight
يَحْبِسُ,to detain
يُحَآدُّ,to oppose
حَآدَّ,to oppose
يُحَذِّرُ,to warn
حَارَبَ,to wage war
حَرِّضِ,"to urge, to encourage"
حَصِرَتْ,"to restrain, to besiege"
أُحْصِرُ,"to hold back, to wrap up"
يَحُضُّ,to feel the urge
ٱسْتَحَقَّ,"to be guilty, to have right"
يُحَكِّمُ,to make judge
أُحْكِمَتْ,"to perfect, to establish"
ٱسْتَحْوَذَ,"to overcome, to have advantage"
يُحَاوِرُ,to talk
أَخْبَتُ,to be humble
يَخْدَعُ,to deceive
يُخَٰدِعُ,to deceive
يُخْسِرُ,"to give less, to make deficient"
خَشَعَتِ,to become humble
يَخْتَصُّ,to choose
يَخْصِفَ,to fasten
أَخْطَأْ,"to err, to make mistake"
يَتَخَٰفَتُ,to murmur
يَخْلُدْ,to live forever
أَخْلَدَ,to adhere
أَخْلَصُ,"to choose, to be sincere"
يُخَالِفُ,"to oppose, to differ"
يَخْتَانُ,to deceive
يَتَخَيَّرُ,"to select, to choose"
يُدْحِضُ,to refute
نَسْتَدْرِجُ,to gradually lead
يَدُعُّ,"to thrust, to repulse"
دُكَّتِ,"to crush, to level"
أَدْلَىٰ,"to present, to let down"
